tof	yint	yerr
8.98602 	6368	79.79974937
9.00300 	5929	77
9.01997 	5373	73.30075034
9.03695 	4886	69.89992847
9.05392 	4679	68.4032163
9.07089 	4516	67.20119047
9.08787 	4356	66
9.10484 	4277	65.39877675
9.12182 	4264	65.29931087
9.13879 	4436	66.60330322
9.15577 	4422	66.49812027
9.17274 	4409	66.4003012
9.18972 	4489	67
9.20669 	4422	66.49812027
9.22367 	4356	66
9.24064 	4409	66.4003012
9.25761 	4489	67
9.27459 	4516	67.20119047
9.29156 	4409	66.4003012
9.30854 	4343	65.90144156
9.32551 	4290	65.49809158
9.34249 	4264	65.29931087
9.35946 	4330	65.80273551
9.37644 	4409	66.4003012
9.39341 	4343	65.90144156
9.41039 	4330	65.80273551
9.42736 	4382	66.19667665
9.44433 	4422	66.49812027
9.46131 	4264	65.29931087
9.47828 	4369	66.09841148
9.49526 	4356	66
9.51223 	4303	65.59725604
9.52921 	4409	66.4003012
9.54618 	4356	66
9.56316 	4369	66.09841148
9.58013 	4369	66.09841148
9.59711 	4212	64.89992296
9.61408 	4199	64.79969136
9.63106 	4303	65.59725604
9.64803 	4303	65.59725604
9.66500 	4160	64.49806199
9.68198 	4225	65
9.69895 	4212	64.89992296
9.71593 	4160	64.49806199
9.73290 	4147	64.39720491
9.74988 	4173	64.5987616
9.76685 	4225	65
9.78383 	4277	65.39877675
9.80080 	4096	64
9.81778 	4109	64.10148204
9.83475 	4238	65.0999232
9.85172 	4096	64
9.86870 	4122	64.20280368
9.88567 	4160	64.49806199
9.90265 	4096	64
9.91962 	4122	64.20280368
9.93660 	4032	63.49803147
9.95357 	4096	64
9.97055 	4096	64
9.98752 	4083	63.89835679
10.00450 	4058	63.70243323
10.02147 	4147	64.39720491
10.03844 	4109	64.10148204
10.05542 	4032	63.49803147
10.07239 	4058	63.70243323
10.08937 	4070	63.79655163
10.10634 	4058	63.70243323
10.12332 	4096	64
10.14029 	4032	63.49803147
10.15727 	4007	63.30086887
10.17424 	4083	63.89835679
10.19122 	4020	63.40346994
10.20819 	4045	63.60031446
10.22516 	4109	64.10148204
10.24214 	4032	63.49803147
10.25911 	4007	63.30086887
10.27609 	4045	63.60031446
10.29306 	4147	64.39720491
10.31004 	4109	64.10148204
10.32701 	4134	64.29618962
10.34399 	4238	65.0999232
10.36096 	4330	65.80273551
10.37794 	4316	65.69627082
10.39491 	4316	65.69627082
10.41188 	4186	64.69930448
10.42886 	4147	64.39720491
10.44583 	4083	63.89835679
10.46281 	3982	63.10309026
10.47978 	3881	62.29767251
10.49676 	3919	62.6019169
10.51373 	3982	63.10309026
10.53071 	3807	61.7008914
10.54768 	3894	62.40192305
10.56466 	3969	63
10.58163 	4032	63.49803147
10.59860 	4020	63.40346994
10.61558 	3982	63.10309026
10.63255 	3982	63.10309026
10.64953 	3894	62.40192305
10.66650 	3969	63
10.68348 	3931	62.69768736
10.70045 	3969	63
10.71743 	3844	62
10.73440 	3956	62.89674077
10.75138 	3906	62.49799997
10.76835 	3894	62.40192305
10.78532 	3956	62.89674077
10.80230 	3931	62.69768736
10.81927 	3982	63.10309026
10.83625 	3906	62.49799997
10.85322 	3795	61.60357133
10.87020 	3969	63
10.88717 	4070	63.79655163
10.90415 	3956	62.89674077
10.92112 	3969	63
10.93810 	4045	63.60031446
10.95507 	4109	64.10148204
10.97204 	4147	64.39720491
10.98902 	4225	65
11.00599 	4316	65.69627082
11.02297 	4409	66.4003012
11.03994 	4409	66.4003012
11.05692 	4502	67.09694479
11.07389 	4761	69
11.09087 	4970	70.49822693
11.10784 	5184	72
11.12482 	5256	72.49827584
11.14179 	5227	72.29799444
11.15876 	5314	72.89718787
11.17574 	5388	73.40299721
11.19271 	5506	74.20242584
11.20969 	5715	75.59761901
11.22666 	5944	77.09734107
11.24364 	6400	80
11.26061 	6922	83.19855768
