3500	10.0000	0.0200    
4, 12, 9, 11
8, 8, 7, 7
10, 9, 7, 6
8, 11, 8, 3
10, 10, 6, 10
8, 14, 8, 7
13, 11, 10, 9
8, 11, 5, 11
9, 11, 6, 8
7, 8, 9, 8
13, 8, 7, 6
5, 8, 7, 6
7, 2, 12, 8
8, 12, 4, 7
6, 8, 8, 5
3, 5, 9, 9
8, 10, 7, 7
9, 9, 10, 8
7, 9, 13, 10
4, 13, 12, 7
10, 7, 10, 12
6, 11, 6, 14
10, 7, 4, 4
9, 8, 7, 9
7, 6, 12, 7
8, 3, 9, 4
10, 9, 6, 5
4, 5, 6, 5
6, 6, 4, 3
9, 4, 8, 18
8, 9, 10, 5
11, 9, 8, 7
12, 9, 13, 10
8, 5, 8, 12
4, 12, 1, 7
8, 6, 10, 6
4, 8, 11, 4
11, 6, 3, 10
6, 6, 7, 4
7, 6, 4, 7
5, 4, 11, 2
4, 7, 5, 8
7, 8, 8, 5
10, 4, 6, 12
8, 13, 10, 6
7, 4, 1, 12
11, 12, 2, 2
2, 6, 11, 10
10, 4, 8, 8
5, 7, 7, 8
7, 5, 8, 12
8, 10, 5, 4
7, 7, 4, 9
7, 9, 8, 9
4, 7, 8, 6
4, 10, 12, 10
7, 3, 9, 8
9, 8, 11, 2
5, 8, 3, 6
6, 4, 10, 6
4, 6, 11, 6
5, 10, 2, 5
10, 6, 10, 6
12, 2, 10, 8
4, 7, 13, 7
5, 7, 8, 8
7, 11, 7, 6
9, 8, 7, 9
6, 5, 9, 9
8, 5, 9, 7
7, 9, 5, 10
9, 2, 7, 8
7, 9, 8, 5
9, 8, 7, 7
4, 6, 5, 4
7, 9, 8, 3
4, 8, 12, 4
6, 5, 5, 7
9, 6, 7, 10
9, 6, 7, 7
7, 5, 7, 8
10, 9, 8, 7
4, 6, 11, 15
4, 8, 8, 10
4, 7, 6, 7
10, 12, 5, 9
8, 6, 14, 8
9, 6, 8, 6
9, 7, 5, 8
8, 10, 6, 6
12, 4, 5, 10
7, 10, 10, 2
5, 5, 11, 7
8, 6, 1, 6
6, 8, 4, 9
7, 7, 8, 8
8, 3, 8, 6
8, 3, 8, 6
5, 9, 7, 5
10, 6, 5, 5
7, 7, 12, 9
8, 5, 5, 9
5, 9, 2, 6
11, 6, 5, 12
8, 12, 7, 5
10, 4, 6, 2
11, 7, 6, 6
9, 14, 6, 3
8, 8, 14, 8
11, 13, 10, 11
10, 4, 13, 6
4, 12, 2, 9
10, 8, 10, 10
7, 7, 10, 11
9, 7, 8, 4
7, 10, 6, 5
12, 7, 10, 6
9, 16, 10, 11
8, 10, 12, 9
10, 12, 7, 9
8, 8, 10, 9
22, 10, 5, 14
12, 10, 9, 7
3, 11, 11, 14
9, 8, 8, 15
10, 13, 11, 10
6, 9, 8, 8
10, 8, 4, 8
12, 9, 4, 9
6, 15, 10, 14
10, 12, 11, 13
7, 17, 9, 7
5, 9, 10, 6
7, 5, 6, 7
10, 16, 18, 7
9, 8, 12, 9
12, 9, 12, 7
9, 10, 13, 9
10, 18, 10, 5
18, 10, 10, 8
16, 12, 11, 10
12, 11, 6, 11
20, 17, 15, 15
9, 13, 20, 19
21, 19, 21, 17
20, 23, 22, 20
26, 28, 23, 29
30, 43, 37, 34
42, 29, 48, 53
60, 62, 53, 71
81, 101, 118, 135
181, 210, 259, 277
383, 503, 742, 1027
